DATE_TIME,UNIQUE_ID
2012-04-03,29640
2012-04-04,29884
2012-04-05,29450
2012-04-06,24342
2012-04-07,10950
2012-04-08,9991
2012-04-09,28819
2012-04-10,27186
2012-04-11,27973
2012-04-12,26936
2012-04-13,24188
2012-04-14,12221
2012-04-15,11142
2012-04-16,31063
2012-04-17,30474
2012-04-18,28230
2012-04-19,27914
2012-04-20,24661
2012-04-21,10940
2012-04-22,9789
2012-04-23,31762
2012-04-24,29706
2012-04-25,28986
2012-04-26,27711
2012-04-27,26214
2012-04-28,12239
2012-04-29,9856
2012-04-30,31038
2012-05-01,28742
2012-05-02,28015
2012-05-03,27294
2012-05-04,25856
2012-05-05,11168
2012-05-06,11126
2012-05-07,31126
2012-05-08,28594
2012-05-09,26720
2012-05-10,26961
2012-05-11,24365
2012-05-12,11094
2012-05-13,9113
2012-05-14,30153
2012-05-15,28100
2012-05-16,28976
2012-05-17,25365
2012-05-18,25931
2012-05-19,12164
2012-05-20,10684
2012-05-21,30806
2012-05-22,30969
2012-05-23,28540
2012-05-24,27961
2012-05-25,25640
2012-05-26,11640
2012-05-27,9581
2012-05-28,18772
2012-05-29,31595
2012-05-30,30954
2012-05-31,31091
2012-06-01,26571
2012-06-02,11259
2012-06-03,10518
2012-06-04,31883
2012-06-05,28665
2012-06-06,28444
2012-06-07,27260
2012-06-08,25732
2012-06-09,13035
2012-06-10,11303
2012-06-11,31452
2012-06-12,28115
2012-06-13,29336
2012-06-14,28657
2012-06-15,26704
2012-06-16,13192
2012-06-17,10245
2012-06-18,32239
2012-06-19,30579
2012-06-20,31542
2012-06-21,31634
2012-06-22,27818
2012-06-23,15191
2012-06-24,13222
2012-06-25,35153
2012-06-26,32091
2012-06-27,27991
2012-06-28,31312
2012-06-29,27931
2012-06-30,16799
2012-07-01,14940
2012-07-02,37600
2012-07-03,34670
2012-07-04,18556
2012-07-05,34851
2012-07-06,29874
2012-07-07,15873
2012-07-08,13405
2012-07-09,36963
2012-07-10,32715
2012-07-11,31320
2012-07-12,30391
2012-07-13,26923
2012-07-14,13750
2012-07-15,12541
2012-07-16,34369
2012-07-17,31352
2012-07-18,30504
2012-07-19,29807
2012-07-20,24828
2012-07-21,13108
2012-07-22,11643
2012-07-23,32798
2012-07-24,31185
2012-07-25,28993
2012-07-26,28476
2012-07-27,25000
2012-07-28,12708
2012-07-29,11002
2012-07-30,32606
2012-07-31,29932
2012-08-01,28184
2012-08-02,27373
2012-08-03,25603
2012-08-04,12924
2012-08-05,11383
2012-08-06,32643
2012-08-07,30519
2012-08-08,29341
2012-08-09,28746
2012-08-10,26155
2012-08-11,13816
2012-08-12,11538
2012-08-13,32362
2012-08-14,30794
2012-08-15,30264
2012-08-16,26893
2012-08-17,25443
2012-08-18,12921
2012-08-19,11809
2012-08-20,31792
2012-08-21,31634
2012-08-22,29254
2012-08-23,27871
2012-08-24,27503
2012-08-25,13899
2012-08-26,11708
2012-08-27,31788
2012-08-28,30367
2012-08-29,30156
2012-08-30,29823
2012-08-31,26540
2012-09-01,13502
2012-09-02,11302
2012-09-03,13668
2012-09-04,33510
2012-09-05,29995
2012-09-06,30570
2012-09-07,28939
2012-09-08,14113
2012-09-09,11618
2012-09-10,34261
2012-09-11,30897
2012-09-12,30441
2012-09-13,32299
2012-09-14,27621
2012-09-15,14351
2012-09-16,12632
2012-09-17,31504
2012-09-18,28713
2012-09-19,29769
2012-09-20,26697
2012-09-21,25370
2012-09-22,13014
2012-09-23,11389
2012-09-24,31137
2012-09-25,30985
2012-09-26,27570
2012-09-27,29285
2012-09-28,26869
2012-09-29,13856
2012-09-30,12205
2012-10-01,30698
2012-10-02,27758
2012-10-03,27755
2012-10-04,27875
2012-10-05,25851
2012-10-06,12130
2012-10-07,10903
2012-10-08,24227
2012-10-09,28488
2012-10-10,28967
2012-10-11,27767
2012-10-12,28038
2012-10-13,13440
2012-10-14,9938
2012-10-15,31804
2012-10-16,28486
2012-10-17,28285
2012-10-18,26895
2012-10-19,25086
2012-10-20,14177
2012-10-21,11153
2012-10-22,31590
2012-10-23,27663
2012-10-24,27030
2012-10-25,26434
2012-10-26,26329
2012-10-27,18029
2012-10-28,28464
2012-10-29,51772
2012-10-30,22183
2012-10-31,43760
2012-11-01,41290
2012-11-02,38818
2012-11-03,23739
2012-11-04,23497
